country,match_type,keyword,campaign,current_bid,sweet_spot_bid,recommended_bid,action,impressions,orders,acos
CA,BROAD,keyword-46876e,CA-Campaign-F02BD2,0.32,0.2935599159074982,0.32,maintain,178644,2,0.0944727349883301
CA,PHRASE,keyword-fa6594,CA-Campaign-43C8F8,0.32,0.2890287277701778,0.32,maintain,178625,27,0.1591973933732864
ES,BROAD,kw-3w-b4b205,ES-Campaign-61024D,0.21,0.1474180865006553,0.1971257651641625,decrease,178602,12,0.154598379845443
FR,BROAD,keyword-f7caf3,FR-Campaign-5913A3,0.3,0.26,0.2232843137254902,decrease,178095,4,0.1198665832812174
CA,EXACT,keyword-90ac65,CA-Campaign-6AC3DD,0.51,0.3397612359550562,0.51,maintain,178069,97,0.0403490939608252
FR,EXACT,kw-3w-3c623b,FR-Campaign-5D69D2,0.22,0.2731457431457432,0.25,increase,177979,13,0.0912825568975433
US,PHRASE,keyword-b2ea82,US-Campaign-D7E45B,0.85,0.1604592968007602,0.2876117268501966,decrease,177961,155,0.0590310756578006
US,BROAD,kw-3w-5a911d,US-Campaign-8476AD,0.27,0.1107136970496126,0.27,maintain,177910,23,0.0748931751366446
CA,EXACT,keyword-745c01,CA-Campaign-716603,0.77,0.3397612359550562,0.5350323732976111,decrease,177860,25,0.134416336715597
CA,PHRASE,keyword-7c7cec,CA-Campaign-82F37E,0.7,0.2890287277701778,0.5994039735099338,decrease,177833,20,0.22102387792587
FR,BROAD,kw-3w-c87ffc,FR-Campaign-3A1289,0.24,0.26,0.25,increase,177689,0,2319.0
FR,EXACT,keyword-2b76e2,FR-Campaign-442249,0.63,0.2731457431457432,0.25,decrease,177530,72,0.1455147478591817
US,BROAD,keyword-7adad0,US-Campaign-35902D,1.5,0.1107136970496126,0.2801420838971583,decrease,177494,89,0.0517407219458661
US,BROAD,keyword-58ba98,US-Campaign-8AA1F4,0.13,0.1107136970496126,0.13,maintain,177457,115,0.0287105467489015
US,BROAD,keyword-609e50,US-Campaign-FEE80A,0.75,0.1107136970496126,0.2801420838971583,decrease,177382,94,0.0412563842524825
CA,BROAD,keyword-25e2a3,CA-Campaign-D8786A,0.5,0.2935599159074982,0.41,decrease,177362,5,0.3502270782597249
US,PHRASE,keyword-c2d5b0,US-Campaign-1C747B,3.0,0.1604592968007602,0.2876117268501966,decrease,177346,9,0.2167149843612655
US,BROAD,keyword-caca5a,US-Campaign-0EED3B,0.5,0.1107136970496126,0.2801420838971583,decrease,177311,175,0.0785047367588857
US,BROAD,keyword-411594,US-Campaign-66F57E,0.51,0.1107136970496126,0.2801420838971583,decrease,177267,50,0.0440068141884961
US,BROAD,keyword-49c19d,US-Campaign-D85843,0.4,0.1107136970496126,0.2801420838971583,decrease,177261,11,0.0877853681321889
IT,BROAD,keyword-61bdd2,IT-Campaign-D61E2A,0.4,0.1387337278106508,0.1706684491978609,decrease,177168,25,0.0622684055754091
